token,label
I,O
do,O
not,O
like,O
any,B-NPI
animals,O
#,#
Have,O
you,O
heard,O
anything,B-NPI
about,O
the,O
new,O
ozone,O 
hole,O
?,O
#,#
If,O
you,O
tell,O
anybody,B-NPI
,O
we'll,O
punish,O
you,O
.,O
#,#
Everyone,O
who,O
likes,O
any,B-NPI
kind,O
of,O
seafood,O 
will,O
like,O
our,O
new,O
seafood,O
sneaks,O
.,O
#,#
John,O
doesn't,O
have,O
any,B-NPI
friens,O
.,O
#,#
Few,O
professors,O
invited,O
any,O
students,O
.,O
#,#
Only,O
a,O
few,O
months,O
until,B-NPI
Sciences,O
Po's,O
new,O
site,O
open,O
its,O
doors,O
.,O
#,#
John,O
barely,O
talked,O
to,O
anybody,B-NPI
.,O
#,#
Almost,O
nobody,O
saw,O
anything,B-NPI
.,O
#,#
Nobody, O
will, O
lift, O
a, B-NPI
finger, I-NPI
., O
#,#
